Gata,Stadur,Verd,Fasteignamat,Brunabotamat,Ahvilandi,Tegund,Byggingarar,Size,Herbergi,Svefnherbergi,Stofur,Badherbergi,Inngangur,Bilskur,Nybygging
Hafnarbraut 15 B,Kópavogi,51900000,4830000,0,0,Fjölbýli,0,91.8,3,2,1,1,Ekki vitað,Já,Já
Mýrarsel 3,Reykjavík,96800000,85950000,92500000,0,Fjölbýli,1983,292.9,8,4,2,2,Ekki vitað,Já,Nei / Ekki vitað
Skyggnisholt 10,Vogum,38900000,2240000,0,0,Fjölbýli,2019,99.9,4,3,1,1,Ekki vitað,Nei / Ekki vitað,Já
Skyggnisholt 10,Vogum,29900000,1595000,0,0,Fjölbýli,2019,64.4,2,1,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Eskivellir 11,Hafnarfirði,42200000,3250000,0,0,Fjölbýli,0,84.3,3,2,1,1,Sérinngangur,Nei / Ekki vitað,Já
Illugagata 63,Vestmannaeyjum,33900000,27600000,37650000,0,Einbýli,1932,168.5,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Stapasíða 11,Akureyri,51800000,45750000,54850000,0,Fjölbýli,1980,162.6,5,4,1,2,Ekki vitað,Nei / Ekki vitað,Nei / Ekki vitað
Holtsvegur 9,Garðabæ,62900000,57200000,64520000,0,Fjölbýli,2018,135.7,4,3,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Rauðhella 8,Hafnarfirði,39500000,25400000,36950000,0,Atvinnuhúsnæði,2006,147.9,2,0,0,0,Ekki vitað,Nei / Ekki vitað,Nei / Ekki vitað
Holtsvegur 39,Garðabæ,71800000,62200000,58450000,0,Fjölbýli,2016,134.2,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Dalsbraut 3 - 301,Njarðvík,39500000,17200000,0,0,Fjölbýli,2019,102.5,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Já
Dalsbraut 3 - 208,Njarðvík,39500000,17000000,0,0,Fjölbýli,2019,101.7,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Já
Dalsbraut 3 -201,Njarðvík,39500000,18450000,0,0,Fjölbýli,2019,101.7,4,3,1,1,Ekki vitað,Nei / Ekki vitað,Nei / Ekki vitað
Dalsbraut 3 - 106,Njarðvík,39500000,16800000,0,0,Fjölbýli,2019,101.1,4,0,0,0,Ekki vitað,Nei / Ekki vitað,Nei / Ekki vitað
Dalsbraut 3 - 105,Njarðvík,31900000,14450000,0,0,Fjölbýli,2019,74.2,3,2,1,0,Ekki vitað,Nei / Ekki vitað,Nei / Ekki vitað
Seljabraut  42,Reykjavík,36700000,34400000,34200000,0,Fjölbýli,1976,94.8,4,3,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Mýrarvegur 124,Akureyri,59900000,37100000,41150000,0,Einbýli,1956,151.4,6,4,2,2,Tveir inngangar,Nei / Ekki vitað,Nei / Ekki vitað
Ásholt 2,Reykjavík,53900000,47900000,39495000,0,Fjölbýli,1990,109.1,3,2,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Lindarbraut 635,Reykjanesbæ,18900000,15500000,20800000,0,Fjölbýli,1956,57.9,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Torfufell 46,Reykjavík,34900000,35150000,30700000,0,Fjölbýli,1974,97.7,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Berjavellir 6A,Hafnarfirði,39900000,37550000,29150000,0,Fjölbýli,2004,86.2,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Klapparholt 3,Hafnarfirði,84900000,76900000,66900000,0,Einbýli,1992,208.6,5,3,2,2,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Neshagi 9,Reykjavík,37900000,41000000,26050000,0,Fjölbýli,1953,81.1,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Brattahlíð 46 201,Mosfellsbæ,57900000,23650000,0,0,Fjölbýli,2019,111.4,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Brattahlíð 44 202,Mosfellsbæ,57900000,23650000,0,0,Fjölbýli,2019,111.4,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Brattahlíð 42 201,Mosfellsbæ,57900000,37000000,0,0,Fjölbýli,2019,111.4,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Já
Brattahlíð 40 202,Mosfellsbæ,57900000,49700000,0,0,Fjölbýli,2019,111.4,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Já
Hraunbær 70,Reykjavík,39900000,36500000,30450000,0,Fjölbýli,1968,94.8,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Gvendargeisli 2,Reykjavík,49900000,40550000,39270000,0,Fjölbýli,2003,105,4,3,1,0,Ekki vitað,Já,Nei / Ekki vitað
Brekkugata 1 - Íbúð 203,Garðabæ,57500000,23450000,0,0,Fjölbýli,2019,112.4,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Já
Brekkugata 3 - Íbúð 307,Garðabæ,73500000,27300000,0,0,Fjölbýli,2019,140.3,5,4,1,1,Sameiginlegur,Já,Já
Brekkugata 3 - íbúð 207,Garðabæ,69800000,27250000,0,0,Fjölbýli,2019,140.5,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Já
Kjarnagata 46,Akureyri,32900000,33450000,28350000,0,Fjölbýli,2008,83.3,3,2,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Fellahvarf 10,Kópavogi,72500000,53500000,47950000,0,Fjölbýli,2005,135.8,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Fífuhjalli 23,Kópavogi,36900000,34050000,25300000,0,Fjölbýli,1989,69.9,2,1,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Fljótasel 18,Reykjavík,68900000,59150000,59290000,0,Fjölbýli,1979,201,6,4,1,1,Ekki vitað,Já,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 203,Reykjanesbæ,18900000,14500000,20150000,0,Fjölbýli,1956,53.9,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 201,Reykjanesbæ,18900000,15700000,21150000,0,Fjölbýli,1956,58.7,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 106,Reykjanesbæ,18900000,15750000,20650000,0,Fjölbýli,1956,57.3,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 214,Reykjanesbæ,18900000,15650000,21150000,0,Fjölbýli,1956,59,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Lindarbraut 635 - íbúð 212,Reykjanesbæ,18900000,15400000,20950000,0,Fjölbýli,1956,57.4,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 211,Reykjanesbæ,18900000,15500000,21100000,0,Fjölbýli,1956,58.1,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 210,Reykjanesbæ,18900000,15400000,20950000,0,Fjölbýli,1956,57.3,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 208,Reykjanesbæ,18900000,15400000,20950000,0,Fjölbýli,1956,57.4,2,1,1,0,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 207,Reykjanesbæ,18900000,15450000,20950000,0,Fjölbýli,1956,57.6,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 206,Reykjanesbæ,18900000,15400000,20950000,0,Fjölbýli,1956,57.3,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 205,Reykjanesbæ,18900000,15550000,21100000,0,Fjölbýli,1956,58.4,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 204,Reykjanesbæ,18900000,15400000,21050000,0,Fjölbýli,1956,57.9,2,1,1,0,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 202,Reykjanesbæ,18900000,15650000,21100000,0,Fjölbýli,1956,58.5,2,1,1,0,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 104,Reykjanesbæ,18900000,15750000,20750000,0,Fjölbýli,1956,57.9,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 103,Reykjanesbæ,21900000,15150000,20600000,0,Fjölbýli,1956,57,2,0,0,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
