Gata,Stadur,Verd,Fasteignamat,Brunabotamat,Ahvilandi,Tegund,Byggingarar,Size,Herbergi,Svefnherbergi,Stofur,Badherbergi,Inngangur,Bilskur,Nybygging
ALDINMÖRK 8 ÍBÚÐ 201,Hveragerði,37800000,14750000,0,0,Fjölbýli,2019,79.9,3,2,1,1,Sérinngangur,Nei / Ekki vitað,Já
ALDINMÖRK 8 ÍBÚÐ 103,Hveragerði,37800000,14700000,0,0,Fjölbýli,2019,79.9,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Já
Smyrilshlíð 10,Reykjavík,62900000,58750000,46860000,0,Fjölbýli,2019,116.9,4,3,1,1,Sameiginlegur,Já,Já
Smyrilshlíð 10,Reykjavík,49900000,47650000,37010000,0,Fjölbýli,2019,84,3,2,1,1,Sameiginlegur,Já,Já
Suðurgata 4,Reykjanesbæ,29800000,29800000,29950000,0,Fjölbýli,1992,83.7,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Kóngsbakki 6,Reykjavík,33900000,30900000,26400000,0,Fjölbýli,1968,82.8,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Framnesvegur 61,Reykjavík,53900000,51300000,33350000,0,Fjölbýli,1967,116.3,5,4,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Háaleitisbraut 54,Reykjavík,37900000,34450000,25150000,0,Fjölbýli,1964,80,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Framnesvegur 57,Reykjavík,37900000,37800000,24950000,0,Fjölbýli,1945,77,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bæjargil 120,Garðabæ,94900000,80550000,70660000,0,Einbýli,1986,199.1,6,4,2,2,Sérinngangur,Já,Nei / Ekki vitað
Hörðukór 5,Kópavogi,46900000,44550000,36700000,0,Fjölbýli,2006,111.2,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Vesturberg 131,Reykjavík,76900000,65850000,67570000,0,Einbýli,1977,215.5,6,4,2,2,Tveir inngangar,Já,Nei / Ekki vitað
Álalind 10,Kópavogi,62900000,51150000,55600000,0,Fjölbýli,2017,110.1,3,2,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Klettagljúfur 15,Ölfus,44900000,41500000,66400000,0,Einbýli,2006,205.7,6,5,1,2,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Skyggnisbraut 2,Reykjavík,53900000,51000000,49460000,0,Fjölbýli,2016,122.4,5,4,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Lágaleiti 11,Reykjavík,41900000,0,0,0,Fjölbýli,2019,58.4,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Efstaleiti 11,Reykjavík,68900000,0,0,0,Fjölbýli,2019,102.3,3,2,1,1,Sameiginlegur,Já,Já
Vörðuleiti 1,Reykjavík,65900000,0,0,0,Fjölbýli,2019,106.3,3,2,1,2,Sameiginlegur,Já,Nei / Ekki vitað
Lágaleiti 13,Reykjavík,44900000,0,0,0,Fjölbýli,2019,65.5,2,1,1,1,Sameiginlegur,Já,Já
Efstaleiti 13,Reykjavík,69900000,0,0,0,Fjölbýli,2019,114.5,3,2,1,1,Ekki vitað,Já,Já
Vallarbraut 17,Akranesi,28900000,25400000,28750000,0,Fjölbýli,1978,85.4,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Stórholt  *með bílskúr* 11,Ísafirði,22000000,11500000,31280000,0,Fjölbýli,1977,105,3,2,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Fossheiði 50,Selfossi,30900000,27950000,35300000,0,Fjölbýli,1974,108.7,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Hafnarbraut 13 B,Kópavogi,69900000,25250000,0,0,Fjölbýli,2019,117,4,3,1,1,Sameiginlegur,Já,Já
Hafnarbraut 15,Kópavogi,53900000,21300000,0,0,Fjölbýli,2019,89.7,3,2,1,1,Ekki vitað,Já,Já
Hafnarbraut 15,Kópavogi,41900000,16400000,0,0,Fjölbýli,2019,57.9,2,1,1,1,Ekki vitað,Já,Já
Urriðaholtsstræti  30,Garðabæ,79900000,5330000,0,0,Fjölbýli,2020,125.9,3,2,1,1,Sameiginlegur,Já,Já
Urriðaholtsstræti 30,Garðabæ,69900000,5810000,0,0,Fjölbýli,2020,146.1,4,3,1,2,Sameiginlegur,Já,Já
Urriðaholtsstræti 30,Garðabæ,68500000,5810000,0,0,Fjölbýli,2020,146.1,4,3,1,2,Sameiginlegur,Já,Já
Urriðaholtsstræti 30,Garðabæ,49500000,4170000,0,0,Fjölbýli,2020,89.9,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Já
Urriðaholtsstræti 30,Garðabæ,66900000,5810000,0,0,Fjölbýli,2020,146.1,4,3,1,2,Sameiginlegur,Já,Já
Geirsgata 2 - Íb. 204,Reykjavík,90500000,68750000,56900000,0,Fjölbýli,2018,117.7,3,1,2,2,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Geirsgata 2 - Íb. 205,Reykjavík,90900000,73900000,60250000,0,Fjölbýli,2018,118.3,3,1,2,2,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Vesturbraut 8,Grindavík,73700000,47500000,88350000,0,Einbýli,1929,341.7,8,5,3,2,Margir inngangar,Já,Nei / Ekki vitað
Neðstaberg 2,Reykjavík,91900000,85900000,98450000,0,Einbýli,1983,305.1,8,4,3,2,Sérinngangur,Já,Nei / Ekki vitað
Laufásvegur 18,Reykjavík,79900000,51800000,32000000,0,Fjölbýli,1940,129.7,0,3,3,3,Ekki vitað,Nei / Ekki vitað,Nei / Ekki vitað
Holtsvegur 39,Garðabæ,58900000,54800000,50390000,0,Fjölbýli,2016,111.4,3,3,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Bæjarlind 7,Kópavogi,59900000,53250000,68940000,0,Fjölbýli,2017,118.1,3,2,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Dugguvogur 23,Reykjavík,29900000,12600000,16900000,0,Fjölbýli,1964,79.8,1,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Brekkuás SELD 5,Hafnarfirði,45900000,40500000,27550000,0,Fjölbýli,2007,90.3,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Háaleitisbraut 28,Reykjavík,55000000,43850000,36220000,0,Fjölbýli,1965,132.3,5,3,2,1,Sameiginlegur,Já,Nei / Ekki vitað
Bjarkardalur 6,Njarðvík,53600000,49550000,46800000,0,Fjölbýli,2019,130.3,3,2,1,2,Sérinngangur,Já,Já
Bjarkardalur 6,Njarðvík,44900000,42400000,37160000,0,Fjölbýli,2019,108.4,3,2,1,1,Sérinngangur,Já,Já
Bjarkardalur 4,Njarðvík,53600000,49550000,46800000,0,Fjölbýli,2019,130.3,3,2,1,2,Sérinngangur,Já,Já
Bjarkardalur 4,Njarðvík,44900000,42400000,37160000,0,Fjölbýli,2019,108.4,3,2,1,1,Sérinngangur,Já,Já
Gullengi 6,Reykjavík,57900000,52950000,44100000,0,Fjölbýli,2007,133.3,5,4,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Kríuás 13,Hafnarfirði,45900000,41400000,33100000,0,Fjölbýli,2001,95.1,3,2,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Efstaleiti 21,Reykjavík,74900000,53850000,0,0,Fjölbýli,2019,100.6,4,3,1,1,Sameiginlegur,Já,Já
Miðleiti 5,Reykjavík,52900000,53250000,44900000,0,Fjölbýli,1984,114.5,4,2,2,2,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Laxatunga 101,Mosfellsbæ,77600000,76950000,71000000,0,Einbýli,2008,234.2,5,4,1,2,Margir inngangar,Já,Nei / Ekki vitað
Reynidalur 6,Njarðvík,39500000,41050000,0,0,Fjölbýli,2020,101.1,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Reynidalur 6,Njarðvík,39500000,41200000,0,0,Fjölbýli,2020,101.1,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Sólvallagata 63,Reykjavík,139000000,68650000,48100000,0,Einbýli,1934,233.4,8,5,3,2,Margir inngangar,Já,Nei / Ekki vitað
Lyngás 1G,Garðabæ,54900000,34250000,38150000,0,Fjölbýli,2019,95.2,4,3,1,1,Sérinngangur,Já,Já
Lyngás 1E,Garðabæ,55900000,22500000,0,0,Fjölbýli,2019,98.4,4,3,1,1,Sérinngangur,Já,Já
Lyngás 1E,Garðabæ,54900000,22550000,0,0,Fjölbýli,2019,100,4,3,1,1,Sérinngangur,Já,Já
Eskivellir 11,Hafnarfirði,42200000,3210000,0,0,Fjölbýli,0,82.8,3,2,1,1,Sérinngangur,Nei / Ekki vitað,Já
Mosagata 5-7 (401),Garðabæ,64900000,51800000,52990000,0,Fjölbýli,2018,133.6,4,3,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Sunnusmári 22 (404),Kópavogi,60900000,60000000,0,0,Fjölbýli,2019,112.2,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Kárastígur 13b,Reykjavík,34900000,27350000,15300000,0,Fjölbýli,1920,37.8,3,1,2,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Garðsendi 13,Reykjavík,69900000,70100000,47500000,0,Einbýli,1960,159.6,6,5,2,2,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Brattakinn 2,Hafnarfirði,44900000,41700000,32670000,0,Fjölbýli,1952,111,3,2,1,1,Sérinngangur,Já,Nei / Ekki vitað
Tómasarhagi 19,Reykjavík,56900000,57300000,32150000,0,Fjölbýli,1957,97.7,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Ægisgata 5,Reykjavík,39800000,39950000,22150000,0,Fjölbýli,2005,66.7,2,1,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
"Foldahraun-42,3A",Vestmannaeyjum,19800000,21650000,28900000,0,Fjölbýli,1975,99.3,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Eyjabakki 22,Reykjavík,36800000,26700000,24100000,0,Fjölbýli,1970,65.6,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Holtsgata 13,Hafnarfirði,70000000,65950000,57050000,0,Einbýli,1950,189.5,8,6,2,3,Sérinngangur,Já,Nei / Ekki vitað
Álftaland 7,Reykjavík,59900000,57650000,43300000,0,Fjölbýli,1982,140.7,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Holtsvegur 10,Garðabæ,56900000,48450000,44850000,0,Fjölbýli,2017,100.7,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Grandavegur 39,Reykjavík,29900000,28700000,14750000,0,Fjölbýli,1920,49.9,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Nýhöfn 4,Garðabæ,83900000,66350000,51350000,0,Fjölbýli,2008,140.3,4,3,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Smárabarð 2,Hafnarfirði,32900000,25300000,18050000,0,Fjölbýli,1987,53.4,2,1,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Dalbraut 20,Reykjavík,24850000,27300000,21700000,0,Fjölbýli,1987,52,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Eskivellir 7,Hafnarfirði,40700000,35200000,28200000,0,Fjölbýli,2006,79.5,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Ástu-Sólliljugata 24,Mosfellsbæ,63900000,59150000,57300000,0,Fjölbýli,2015,162,5,3,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Jaðarsbraut 35,Akranesi,35900000,27000000,29600000,0,Fjölbýli,1956,100.1,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Vefarastræti 17,Mosfellsbæ,54900000,48000000,52480000,0,Fjölbýli,2017,110.2,4,3,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Háagerði 59,Reykjavík,39900000,34000000,19450000,0,Fjölbýli,1954,62.3,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Hraunbær 40,Reykjavík,39900000,39450000,34650000,0,Fjölbýli,1967,104.9,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Djúpivogur 18,Höfnum,31900000,19750000,45850000,0,Einbýli,1978,134.6,5,3,2,2,Ekki vitað,Nei / Ekki vitað,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 205,Reykjanesbæ,18900000,15550000,21100000,0,Fjölbýli,1956,58.4,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Reynidalur 6,Njarðvík,39500000,41050000,0,0,Fjölbýli,2020,101.1,4,3,1,1,Ekki vitað,Nei / Ekki vitað,Nei / Ekki vitað
Reynidalur 6,Njarðvík,39500000,41050000,0,0,Fjölbýli,2020,101.1,4,3,1,1,Ekki vitað,Nei / Ekki vitað,Nei / Ekki vitað
Jötunsalir 2,Kópavogi,85000000,76300000,71070000,0,Fjölbýli,2001,210,5,4,2,2,Sameiginlegur,Já,Nei / Ekki vitað
Reynidalur 6,Njarðvík,39500000,41200000,0,0,Fjölbýli,2020,101.1,4,3,1,1,Ekki vitað,Nei / Ekki vitað,Nei / Ekki vitað
Álalind 8,Kópavogi,65800000,54650000,46650000,0,Fjölbýli,2019,127.2,4,3,1,1,Sameiginlegur,Já,Já
Sæbólsbraut 30,Kópavogi,39900000,38900000,31350000,0,Fjölbýli,1985,90.5,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Hæðagarður 12,Höfn í Hornafirði,28900000,15550000,44450000,0,Einbýli,1975,133.7,5,3,1,1,Ekki vitað,Nei / Ekki vitað,Nei / Ekki vitað
Reynigrund 38,Akranesi,69400000,62750000,53990000,0,Einbýli,1978,196.6,4,3,1,2,Sérinngangur,Já,Nei / Ekki vitað
Spóarimi 4,Selfossi,36900000,38950000,43300000,0,Einbýli,1984,132.3,3,2,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Miðengi 1,Selfossi,46400000,51650000,67550000,0,Einbýli,1975,217.3,6,5,1,2,Sérinngangur,Já,Nei / Ekki vitað
Hraunbær 103B 504,Reykjavík,65900000,20,10,0,Fjölbýli,2018,108.5,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Hraunbær 103C 208,Reykjavík,43900000,15250000,0,0,Fjölbýli,2019,66.5,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Hraunbær 103B 204,Reykjavík,62900000,21850000,0,0,Fjölbýli,2019,112.1,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Hraunbær 103A 202,Reykjavík,42500000,15200000,0,0,Fjölbýli,2019,65.8,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Hraunbær 102,Reykjavík,35900000,32750000,28550000,0,Fjölbýli,1978,78.2,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Kjarnagata 51 402,Akureyri,38950000,2870000,0,0,Fjölbýli,2020,80.9,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Kjarnagata 51 310,Akureyri,45950000,3490000,0,0,Fjölbýli,2020,104.9,5,4,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 20 ÍBÚÐ 201,Mosfellsbæ,37900000,2870000,0,0,Fjölbýli,2020,59.9,2,2,1,1,Sameiginlegur,Nei / Ekki vitað,Já
Bjarkarholt 14 ÍBÚÐ 106,Mosfellsbæ,49900000,18400000,0,0,Fjölbýli,2019,94.7,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Já
Bjarkarholt 12 ÍBÚÐ 208,Mosfellsbæ,64900000,22450000,0,0,Fjölbýli,2019,122.6,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Já
Bjarkarholt 20 ÍBÚÐ 101,Mosfellsbæ,35900000,2760000,0,0,Fjölbýli,2020,56.5,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Já
Bjarkarholt 8 ÍBÚÐ 205,Mosfellsbæ,62800000,4110000,0,0,Fjölbýli,2020,117.2,4,3,1,1,Sameiginlegur,Já,Já
Bjarkarholt 16 (502),Mosfellsbæ,67300000,4670000,0,0,Fjölbýli,0,121.4,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 16 (204),Mosfellsbæ,62900000,4520000,0,0,Fjölbýli,0,117.2,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 16 (304),Mosfellsbæ,59500000,4460000,0,0,Fjölbýli,0,113.5,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 16 (303),Mosfellsbæ,57500000,4210000,0,0,Fjölbýli,0,104.7,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 20 (101),Mosfellsbæ,35900000,2760000,0,0,Fjölbýli,0,62.3,2,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 18 (102),Mosfellsbæ,49900000,3880000,0,0,Fjölbýli,0,94,2,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 16 (403),Mosfellsbæ,59500000,4210000,0,0,Fjölbýli,0,104.2,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 10 (103),Mosfellsbæ,49900000,3950000,0,0,Fjölbýli,0,95.2,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Lautasmári 12,Kópavogi,54900000,50850000,42900000,652119,Fjölbýli,1997,130.2,4,3,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Bjarkarholt 10 (101),Mosfellsbæ,64500000,4580000,0,0,Fjölbýli,0,118.4,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 8 (304),Mosfellsbæ,59500000,4370000,0,0,Fjölbýli,0,113,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 10 (202),Mosfellsbæ,39500000,2880000,0,0,Fjölbýli,0,60.3,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 10 (302),Mosfellsbæ,61300000,4550000,0,0,Fjölbýli,0,118.8,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Geirþrúðarhagi 4b íbúð 103,Akureyri,22990000,1745000,0,0,Fjölbýli,2020,41,1,0,1,1,Sérinngangur,Nei / Ekki vitað,Já
Bjarkavellir 1A,Hafnarfirði,37900000,35100000,26950000,0,Fjölbýli,2015,74.9,2,1,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 8 (305),Mosfellsbæ,64900000,4610000,0,0,Fjölbýli,0,121.4,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Köllunarklettsvegur 4,Reykjavík,29900000,146450000,124650000,0,Atvinnuhúsnæði,1949,100,0,0,0,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Vallakór 6A 604,Kópavogi,48900000,39900000,38350000,0,Fjölbýli,2018,84.5,3,2,1,1,Sér innaf svölum,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 18 (301),Mosfellsbæ,64900000,4570000,0,0,Fjölbýli,0,118.8,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 18 (202),Mosfellsbæ,56200000,4240000,0,0,Fjölbýli,0,106.5,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 18 (201),Mosfellsbæ,64500000,4580000,0,0,Fjölbýli,0,119.6,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 18 (302),Mosfellsbæ,57500000,4260000,0,0,Fjölbýli,0,107.5,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 18 (401),Mosfellsbæ,67900000,4540000,0,0,Fjölbýli,0,117.1,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 8 (205),Mosfellsbæ,62800000,4540000,0,0,Fjölbýli,0,117.2,4,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Sóleyjarimi 15,Reykjavík,53900000,48050000,42490000,0,Fjölbýli,2006,111.3,4,3,1,1,Sérinngangur,Já,Nei / Ekki vitað
Bjarkarholt 8 (204),Mosfellsbæ,58200000,4280000,0,0,Fjölbýli,0,107.3,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 10 (201),Mosfellsbæ,63900000,4630000,0,0,Fjölbýli,0,121.4,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 10 (402),Mosfellsbæ,66500000,4680000,0,0,Fjölbýli,0,122.8,3,3,1,2,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Austurbrún 2,Reykjavík,31000000,28100000,15450000,23149061,Fjölbýli,1960,47.6,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Laufásvegur 19,Reykjavík,47000000,73600000,52100000,0,Fjölbýli,1933,79.8,1,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 16 (104),Mosfellsbæ,61900000,4500000,0,0,Fjölbýli,0,116,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 16 (103),Mosfellsbæ,48500000,3820000,0,0,Fjölbýli,0,90.6,2,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Miklabraut 84,Reykjavík,55000000,49300000,35320000,0,Fjölbýli,1951,130.2,4,2,2,0,Ekki vitað,Já,Nei / Ekki vitað
Álfabrekka (tvær íbúðir) 15,Kópavogi,57800000,42250000,32050000,0,Fjölbýli,1995,141.2,5,3,2,2,Ekki vitað,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 12 (308),Mosfellsbæ,65500000,4230000,0,0,Fjölbýli,2019,126.5,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 14 (106),Mosfellsbæ,49900000,4230000,0,0,Fjölbýli,2019,94.7,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 20 (301),Mosfellsbæ,39500000,2880000,0,0,Fjölbýli,0,60.4,2,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 20 (203),Mosfellsbæ,63500000,4480000,0,0,Fjölbýli,0,114.7,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Gerplustræti 31,Mosfellsbæ,48900000,42600000,39800000,0,Fjölbýli,2017,96.2,4,3,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Bjarkarholt 20 (103),Mosfellsbæ,65900000,4500000,0,0,Fjölbýli,0,115.7,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Víkurás 3,Reykjavík,32900000,28800000,19050000,0,Fjölbýli,1985,58.8,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Síðumúli 39,Reykjavík,41900000,0,0,0,Fjölbýli,2019,60.3,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Já
Klapparstígur 9,Reykjavík,38900000,42650000,24650000,0,Fjölbýli,1910,78.6,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Vallakór 2 C,Kópavogi,54900000,51700000,52560000,0,Fjölbýli,2014,124.9,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Urðargerði 6,Húsavík,44900000,44200000,66500000,0,Einbýli,1978,218.6,6,5,1,1,Margir inngangar,Nei / Ekki vitað,Nei / Ekki vitað
Fiskislóð 79,Reykjavík,79900000,68600000,56450000,0,Atvinnuhúsnæði,1990,263.9,0,0,0,2,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt  29 403,Mosfellsbæ,41900000,0,0,0,Fjölbýli,2019,69.6,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Skipalón 4,Hafnarfirði,47900000,42150000,37780000,0,Fjölbýli,2007,94.8,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Sjafnarbrunnur 2,Reykjavík,60400000,50250000,56980000,0,Fjölbýli,2017,118.8,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Akurhólar 6,Selfossi,29900000,29100000,26150000,0,Fjölbýli,2017,73.9,2,2,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Álalind 8,Kópavogi,65800000,54650000,46650000,0,Fjölbýli,2019,127.2,4,3,1,1,Sameiginlegur,Já,Já
Álalind 6,Kópavogi,68500000,56350000,52510000,0,Fjölbýli,2019,127.1,4,3,1,1,Sameiginlegur,Já,Já
Álalind 6,Kópavogi,66500000,55750000,47400000,0,Fjölbýli,2019,128.6,4,3,1,1,Sameiginlegur,Já,Já
Álalind 4-8,Kópavogi,67500000,54600000,51840000,0,Fjölbýli,2019,128.1,4,3,1,1,Sameiginlegur,Já,Já
Álalind 4,Kópavogi,68500000,57550000,53050000,0,Fjölbýli,2019,133.3,4,3,1,1,Sameiginlegur,Já,Já
Álalind 4,Kópavogi,67500000,57350000,52800000,0,Fjölbýli,2019,133.2,4,3,1,1,Sameiginlegur,Já,Já
Álalind 4,Kópavogi,66500000,57050000,48100000,0,Fjölbýli,2019,132.8,4,3,1,1,Sameiginlegur,Já,Já
Álalind 4,Kópavogi,67800000,58600000,51150000,0,Fjölbýli,2019,143.7,4,3,1,0,Sameiginlegur,Já,Já
Sunnusmári 25,Kópavogi,56900000,0,0,0,Fjölbýli,2019,92.9,3,2,1,1,Sameiginlegur,Já,Já
Sunnusmári 25,Kópavogi,42900000,0,0,0,Fjölbýli,2019,59.3,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Já
Sunnusmári 25,Kópavogi,54900000,0,0,0,Fjölbýli,2019,92.9,3,2,1,1,Sameiginlegur,Já,Já
Sunnusmári 25,Kópavogi,52900000,0,0,0,Fjölbýli,2019,94.7,3,2,1,1,Sameiginlegur,Já,Já
Sunnusmári 23,Kópavogi,68000000,0,0,0,Fjölbýli,2019,122.5,4,3,1,1,Sameiginlegur,Já,Já
Sunnusmári 23,Kópavogi,34900000,0,0,0,Fjölbýli,2019,46.8,1,0,1,1,Sameiginlegur,Nei / Ekki vitað,Já
Sunnusmári 23,Kópavogi,55900000,0,0,0,Fjölbýli,2019,107.3,4,3,1,1,Sameiginlegur,Já,Já
Sunnusmári 23,Kópavogi,62900000,0,0,0,Fjölbýli,2019,126.3,4,3,1,1,Sameiginlegur,Já,Já
Sunnusmári 19,Kópavogi,49900000,0,0,0,Fjölbýli,2019,79.6,3,1,2,1,Sameiginlegur,Já,Já
