Gata,Stadur,Verd,Fasteignamat,Brunabotamat,Ahvilandi,Tegund,Byggingarar,Size,Herbergi,Svefnherbergi,Stofur,Badherbergi,Inngangur,Bilskur,Dags.sott,Nybygging
Þelamörk 51D,Hveragerði,50900000,5240000,0,0,Par/Raðhús,2020,117.2,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Já
Þelamörk 53A,Hveragerði,52900000,5420000,0,0,Par/Raðhús,0,123.4,4,3,1,1,Tveir inngangar,Nei / Ekki vitað,2020-03-21,Já
Þelamörk 53B,Hveragerði,49900000,5340000,0,0,Par/Raðhús,2020,120.8,3,2,1,2,Sérinngangur,Nei / Ekki vitað,2020-03-21,Já
Þelamörk 53C,Hveragerði,49900000,5340000,0,0,Par/Raðhús,2020,120.8,3,2,1,2,Sérinngangur,Nei / Ekki vitað,2020-03-21,Já
Laufskálar 5,Hellu,22900000,16400000,30150000,0,Hæðir,1958,102.5,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Gráholtsbraut 2 (Öndverðarnes),Selfossi,28500000,27800000,20300000,0,Sumarhús,2008,73.3,5,3,2,2,Margir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Kiðjaberg 121,Selfossi,69900000,61100000,58400000,0,Sumarhús,2006,219.9,6,4,2,1,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Háarif 75,Hellissandi,27500000,24050000,39140000,0,Par/Raðhús,2006,136.2,4,3,1,1,Margir inngangar,Já,2020-03-21,Nei / Ekki vitað
Gagnheiði 17,Selfossi,34600000,2440000,0,0,atv,1978,219.7,2,0,0,0,Margir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Gagnheiði 17,Selfossi,32500000,2410000,0,0,atv,1978,217.1,2,0,0,0,Margir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Grundarstígur 11,Reykjavík,29900000,31050000,17650000,0,Fjölbýli,1919,59.2,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Gagnheiði 17,Selfossi,200000000,2440000,0,0,atv,1978,1305,2,0,0,0,Margir inngangar,Nei / Ekki vitað,2020-03-21,Já
Bankastræti 5,Reykjavík,NA,0,0,0,atv,1930,90,2,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hafnarbraut 13 B,Kópavogi,74900000,30550000,0,0,Fjölbýli,2019,136.2,4,3,1,2,Ekki vitað,Já,2020-03-21,Já
Hafnarbraut 13 B,Kópavogi,67900000,25400000,0,0,Fjölbýli,2019,119.4,4,3,1,1,Sameiginlegur,Já,2020-03-21,Já
Hafnarbraut 13 A,Kópavogi,69900000,25350000,0,0,Fjölbýli,2019,118,4,3,1,1,Ekki vitað,Já,2020-03-21,Já
Hafnarbraut 13 A,Kópavogi,41900000,16700000,0,0,Fjölbýli,2019,60.6,2,1,1,1,Ekki vitað,Já,2020-03-21,Já
Hafnarbraut 13 A,Kópavogi,74900000,28950000,0,0,Fjölbýli,2019,144.4,4,3,1,1,Ekki vitað,Já,2020-03-21,Já
