Gata,Stadur,Verd,Fasteignamat,Brunabotamat,Ahvilandi,Tegund,Byggingarar,Size,Herbergi,Svefnherbergi,Stofur,Badherbergi,Inngangur,Bilskur,Dags.sott,Nybygging
Staðarvör 10,Grindavík,48900000,35300000,51180000,0,Einbýli,1973,172.5,6,5,1,NA,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Ásatún 40,Akureyri,36500000,36700000,32800000,0,Fjölbýli,2016,86.6,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Já
VALLARGATA 24 - EASY BUY - LIGHT REPAYMENT OF  LOANS,Reykjanesbæ,NA,20350000,31920000,NA,Hæð,NA,109.1,3,2,NA,NA,Ekki vitað,Já,2020-03-21,Nei / Ekki vitað
Skipholt 53,Reykjavík,39800000,41250000,25550000,0,Fjölbýli,1963,88.5,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Stórikriki 2a,Mosfellsbæ,69800000,60900000,68840000,0,Fjölbýli,2008,177.5,5,3,2,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Holtasmári 1,Kópavogi,NA,0,0,0,atv,NA,560,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Sóltún 26,Reykjavík,NA,0,0,0,atv,NA,220,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hvaleyrarbraut 33,Hafnarfirði,42500000,39550000,0,0,atv,2002,171.4,2,NA,NA,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Móasíða 6c,Akureyri,49900000,50000000,60700000,0,Par/Raðhús,1984,175.2,5,5,1,1,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Tjarnabakki 12,Njarðvík,44900000,48300000,45460000,0,Fjölbýli,2006,147,4,3,1,1,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Vatnsstígur 20 22,Reykjavík,86000000,84200000,55080000,0,Fjölbýli,2015,137,3,2,2,2,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Smárarimi 26,Reykjavík,95900000,78600000,66950000,0,Einbýli,1993,200.1,5,4,2,2,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
"Spánn, Villamartin, 5 herb einbýli rétt við Golfvöllinn",Útlöndum,54386000,0,0,0,Einbýli,NA,150,5,4,1,4,Tvennir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Krossalind 5,Kópavogi,108800000,88100000,77720000,0,Par/Raðhús,1999,229.4,6,5,1,2,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Vesturberg 195,Reykjavík,57900000,23250000,16900000,0,Par/Raðhús,1974,152,6,3,1,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Vesturberg 195,Reykjavík,57900000,24150000,17700000,0,Par/Raðhús,1974,160.6,5,3,1,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Vesturberg 195,Reykjavík,57900000,22650000,14350000,0,Par/Raðhús,1974,144.4,4,2,1,3,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Fossvegur 2,Selfossi,26000000,26050000,25950000,0,Fjölbýli,2004,70.4,2,1,1,1,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Sandabraut 4,Akranesi,40500000,34550000,40120000,0,Hæðir,1947,137,4,3,1,1,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Lyngás  1G,Garðabæ,57900000,0,0,0,Fjölbýli,2019,99.4,4,3,1,1,Sérinngangur,Já,2020-03-21,Já
Lyngás 1G,Garðabæ,55900000,70500000,77700000,0,Fjölbýli,2019,197.6,4,3,1,1,Sérinngangur,Já,2020-03-21,Já
Hafnarberg 3,Þorlákshöfn,42900000,33800000,49890000,0,Fjölbýli,1996,150.2,4,2,1,1,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Grettisgata 75,Reykjavík,37500000,41750000,27092000,0,Fjölbýli,1938,90.1,4,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Klettás 14,Njarðvík,42500000,44850000,37150000,0,Fjölbýli,2002,130.6,4,3,1,1,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Sóleyjarimi 5,Reykjavík,47900000,44950000,35628000,0,Fjölbýli,2005,99,3,2,1,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Grænás 3,Njarðvík,29900000,28200000,31450000,0,Fjölbýli,1957,108,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Gerplustræti 35,Mosfellsbæ,47900000,42350000,44870000,0,fjölbýli,2018,95,4,3,1,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Síðumúli 23,Reykjavík,NA,83650000,87300000,0,atv,1967,22,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lambhagavegur 9  (0101),Reykjavík,NA,0,0,0,atv,NA,188.4,0,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Gjáhella 3,Hafnarfirði,NA,25700000,38700000,0,atv,2018,142,1,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Já
Heiðargerði 55,Reykjavík,89500000,70300000,47200000,0,Einbýli,1960,171.9,8,NA,3,3,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Suðurgata 32,Akranesi,120000000,50630000,114020000,0,atv,1935,447.5,13,12,NA,8,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Suðurgata 64,Hafnarfirði,41800000,42500000,31700000,0,Fjölbýli,1947,110.9,5,2,1,0,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Brúarfljót 3,Mosfellsbæ,55000000,26200000,0,0,Jörð/Lóð,NA,6397,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Höfðagata 19,Stykkishólmi,42000000,33800000,50310000,0,Einbýli,1960,181,6,5,1,2,Tveir inngangar,Já,2020-03-21,Nei / Ekki vitað
Hverfisgata (leiga) 117,Reykjavík,NA,30750000,17600000,0,Fjölbýli,1942,47.1,2,1,1,1,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Bugðufljót 3,Mosfellsbæ,75900000,44050000,0,0,Jörð/Lóð,NA,0,0,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Oddsholt 33,Selfossi,36900000,21800000,36050000,0,Sumarhús,2016,80.7,3,2,1,1,Margir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Fuglavík 18,Reykjanesbæ,NA,57500000,92150000,0,atv,2011,420.4,1,0,0,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hamarstígur  2,Akureyri,63900000,53350000,56550000,0,Einbýli,1930,173.4,5,4,2,2,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Sundaborg 7-9,Reykjavík,NA,0,0,0,atv,NA,35,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Vallarbraut 9,Akranesi,34900000,23050000,33450000,0,Fjölbýli,1979,111.4,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Vegamót Snæfellsnesi,Stykkishólmi,195000000,41309000,201280000,0,atv,1935,539,17,14,3,16,Margir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Álfabakki 14A,Reykjavík,NA,0,0,0,atv,NA,130,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hólmatún 1,Akureyri,38800000,39200000,35150000,0,Fjölbýli,2013,97.4,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Kóngsvegur  8,Selfossi,18900000,18150000,18350000,0,Sumarhús,1989,62,3,2,1,1,Tveir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lyngholt 4,Vogum,45500000,7910000,0,0,Einbýli,0,198.9,5,4,1,0,Ekki vitað,Já,2020-03-21,Nei / Ekki vitað
Barónsstígur 6,Reykjavík,85900000,27250000,0,0,Fjölbýli,2018,106.6,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Nýhöfn 7,Garðabæ,95000000,74150000,90210000,0,Fjölbýli,2017,150.1,3,2,1,2,Sameiginlegur,Já,2020-03-21,Já
Efrahóp 8,Grindavík,52000000,45450000,60400000,0,Einbýli,2011,156,4,3,1,2,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Smyrilshlíð 8,Reykjavík,63500000,0,0,0,Fjölbýli,2019,117.4,5,4,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Smyrilshlíð  6,Reykjavík,58500000,0,0,0,Fjölbýli,NA,96.1,4,3,1,1,Ekki vitað,Nei / Ekki vitað,2020-03-21,Já
Smyrilshlíð  6,Reykjavík,58500000,0,0,0,Fjölbýli,2019,102.7,4,3,1,1,Ekki vitað,Nei / Ekki vitað,2020-03-21,Já
Smyrilshlíð  6,Reykjavík,58500000,53800000,42410000,0,Fjölbýli,2019,101.5,4,3,1,1,Ekki vitað,Nei / Ekki vitað,2020-03-21,Já
Smyrilshlíð  4,Reykjavík,58500000,0,0,0,Fjölbýli,2019,95.1,4,3,1,1,Ekki vitað,Nei / Ekki vitað,2020-03-21,Já
Smyrilshlíð 4,Reykjavík,58500000,0,0,0,Fjölbýli,2019,101.1,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Smyrilshlíð  4,Reykjavík,46500000,0,0,0,Fjölbýli,2019,72,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Brunngata 7,Ísafirði,25900000,11800000,22800000,0,Fjölbýli,1943,78.3,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hlíðargata 30,Sandgerði,38800000,30950000,36550000,0,Einbýli,1963,138.1,5,NA,NA,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Rjúpnasalir 14,Kópavogi,54800000,52650000,41400000,0,Fjölbýli,2003,130.3,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Krókháls 12,Reykjavík,NA,0,0,0,atv,1998,155,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Heiðarholt 26,Reykjanesbæ,23500000,23950000,28950000,0,Fjölbýli,1984,78,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hrafnagilsstræti 27,Akureyri,NA,33100000,33100000,0,Fjölbýli,1935,144,7,3,2,1,Tveir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Austurbrú 4,Akureyri,66800000,47450000,63220000,0,Fjölbýli,2017,113.3,3,2,1,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Hverfisgata 96 (306),Reykjavík,74900000,56200000,0,0,Fjölbýli,2018,123.1,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dalvegur 32,Kópavogi,NA,184650000,0,0,atv,2019,860,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Sunnusmári 28,Kópavogi,94900000,66200000,57330000,0,Fjölbýli,2018,144.9,4,2,2,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Suðurlandsbraut 32,Reykjavík,NA,7920000,0,0,atv,1965,180,0,0,0,0,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lambhagavegur 5,Reykjavík,NA,0,0,0,atv,NA,1350,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Reykjavíkurvegur 74,Hafnarfirði,NA,0,0,0,atv,NA,488,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Árskógar 6,Reykjavík,53900000,85900000,68000000,0,Fjölbýli,1992,100.4,3,1,2,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Hverfisgata 85A,Reykjavík,47900000,0,0,0,Fjölbýli,2019,67.4,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Já
Vatnsstígur 17,Reykjavík,72900000,73000000,51880000,0,Fjölbýli,2004,127.4,3,2,1,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Katrínartún 2,Reykjavík,NA,0,0,0,atv,NA,494,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Sunnusmári 0,Kópavogi,49900000,49350000,38050000,0,Fjölbýli,2019,100,3,2,1,0,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Já
Sunnusmári 28,Kópavogi,94900000,66200000,57330000,0,Fjölbýli,2018,144.9,3,2,2,1,Sameiginlegur,Já,2020-03-21,Já
Sunnusmári 24,Kópavogi,59900000,53950000,46430000,0,Fjölbýli,2018,116.7,4,4,1,1,Ekki vitað,Já,2020-03-21,Já
Hverfisgata 85A,Reykjavík,46900000,0,0,0,Fjölbýli,2019,66.5,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Já
"Spánn, Los Altos, nett einbýli á vinsælum stað",Útlöndum,16319000,0,0,0,Einbýli,2002,83,3,2,1,2,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Klettatröð 9,Reykjanesbæ,54900000,30750000,109600000,0,atv,1957,511,0,0,0,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Spánn - Las Colinas - Lúxusvilla,Útlöndum,452000000,0,0,0,Einbýli,NA,0,6,4,2,6,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Hvaleyrarbraut 33,Hafnarfirði,39800000,37050000,0,0,atv,2002,167.6,1,0,0,1,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hvaleyrarbraut 33,Hafnarfirði,42500000,39550000,0,0,atv,2002,171,5,0,0,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Gerðavellir 19,Grindavík,55000000,26440000,83350000,0,atv,1981,225.7,3,0,0,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Gimbratún 18,Hvolsvelli,46000000,38000000,43950000,0,Sumarhús,2019,112.8,5,4,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Flugvöllur vestma,Vestmannaeyjum,29900000,13580000,39500000,0,atv,1982,372.8,0,0,0,1,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Gimbratún 31,Hvolsvelli,46000000,38250000,43950000,0,Sumarhús,2019,112.8,5,4,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Gimbratún 22,Hvolsvelli,46000000,33050000,0,0,Sumarhús,2019,112.8,5,4,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dúfnahólar 6,Reykjavík,44500000,33200000,24500000,0,Fjölbýli,1974,127.8,3,2,1,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Gvendargeisli 24,Reykjavík,52500000,42650000,39520000,0,Fjölbýli,2003,121.3,3,2,1,1,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Vatnsstígur 13,Reykjavík,52000000,51400000,40710000,0,Fjölbýli,2004,73,2,1,1,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Kjarnagata 45,Akureyri,44500000,42700000,40700000,0,Fjölbýli,2017,102.1,4,4,1,1,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Suðurlandsbraut (leiga) 4,Reykjavík,NA,59900000,52000000,0,atv,1965,93,1,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Silfurtún  3A,Garði,23500000,24000000,22950000,0,Par/Raðhús,2008,68.1,3,2,1,NA,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
"Spánn, Los Altos, 5 herbergja endaraðhús",Útlöndum,25704000,0,0,0,Raðhús,NA,150,5,3,2,2,Tvennir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Suðurlandsbraut 4,Reykjavík,NA,0,0,0,atv,NA,93,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Djúpahraun 19,NA,4300000,2490000,0,0,Jörð/Lóð,NA,7400,0,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Djúpahraun 21,NA,4300000,2490000,0,0,Jörð/Lóð,NA,7400,0,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Þrastahraun 5,Hafnarfirði,89000000,73600000,66150000,0,Einbýli,1964,198.7,7,5,2,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Þingás 13,Reykjavík,89900000,70600000,54620000,0,Einbýli,1985,188.9,6,4,2,2,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Bogatún 30,Hellu,36900000,29950000,47000000,0,Par/Raðhús,2006,137,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lyngás 1H,Garðabæ,48900000,32500000,34700000,0,Fjölbýli,2019,84.4,3,2,1,1,Sérinngangur,Já,2020-03-21,Já
Austurströnd 5,Seltjarnarnesi,NA,0,0,0,atv,NA,479.5,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Jaðarleiti 2,Reykjavík,73900000,57150000,48000000,0,Fjölbýli,2018,107.3,4,2,2,1,Sameiginlegur,Já,2020-03-21,Já
Hamratún 38 - 201,Akureyri,39500000,44300000,37750000,0,Fjölbýli,2006,110,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Laugarás,Borgarnesi,16900000,16538000,24748000,0,Einbýli,1943,94.6,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Brattagata,Vestmannaeyjum,52900000,46350000,62650000,0,Einbýli,1987,198.9,6,4,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dalbraut 17,Akranesi,54900000,55550000,58300000,0,Par/Raðhús,1978,178.8,5,4,1,2,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Bríetartún 9,Reykjavík,89900000,67850000,61650000,0,Fjölbýli,2018,136.1,4,3,1,2,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Já
Bríetartún 9,Reykjavík,99900000,33650000,0,0,Fjölbýli,2018,136.2,3,2,1,2,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Já
Suðurgata 23,Sandgerði,17900000,11600000,17800000,0,Fjölbýli,1971,57,2,NA,NA,NA,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Skuggabakki (skipti stærra)  8,Mosfellsbæ,10800000,3366000,3860000,0,Hesthús,1980,64.8,0,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Brjánsstaðir,NA,NA,12700000,0,0,Einbýli,1929,135.6,4,3,2,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Suðurgata 32,Sandgerði,18900000,16900000,21950000,0,Fjölbýli,1954,72.3,2,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Tangagata 20A,Ísafirði,36000000,15400000,34450000,0,Einbýli,1903,153.1,6,4,2,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Byggðavegur  88 nh.,Akureyri,47900000,38950000,45970000,0,Fjölbýli,1960,178.4,5,3,2,1,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Ólafsvellir 19,Stokkseyri,32700000,30850000,40500000,0,Par/Raðhús,2017,118.8,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Bugðufljót 7,Mosfellsbæ,NA,62700000,0,0,atv,NA,3910.4,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Naustavör  28,Kópavogi,67500000,49450000,4770000,0,Fjölbýli,2019,125.5,3,2,1,1,Ekki vitað,Já,2020-03-21,Nei / Ekki vitað
Naustavör  28,Kópavogi,69500000,63150000,56020000,0,Fjölbýli,2019,120.4,3,2,1,1,Ekki vitað,Já,2020-03-21,Já
Naustavör  28,Kópavogi,86400000,55450000,0,0,Fjölbýli,2019,164.6,4,3,1,NA,Ekki vitað,Já,2020-03-21,Nei / Ekki vitað
Naustavör 34,Kópavogi,79400000,69450000,63170000,0,Fjölbýli,2019,140.6,4,3,1,NA,Ekki vitað,Já,2020-03-21,Já
Bæjarás 8,Bakkafirði,9500000,7490000,32200000,0,Einbýli,1999,100,4,3,1,1,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Tröllateigur 17,Mosfellsbæ,53800000,47950000,39910000,0,Fjölbýli,2004,122.8,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Desjamýri 1,Mosfellsbæ,NA,50350000,56950000,0,atv,2017,207,1,0,0,0,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Holtsflöt 4,Akranesi,49500000,51750000,51710000,0,Fjölbýli,2007,134.5,4,3,1,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Grímsholt 10,Garði,49900000,4510000,0,0,Par/Raðhús,0,166.8,4,3,1,1,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Geirsgata 2,Reykjavík,99400000,71200000,59900000,0,Fjölbýli,2018,125.3,2,1,1,2,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Fálkahlíð 4,Reykjavík,78500000,0,0,0,Fjölbýli,NA,120.5,3,2,1,1,Sameiginlegur,Já,2020-03-21,Já
Fífusel 35,Reykjavík,37900000,41100000,39730000,0,Fjölbýli,1975,141.8,5,4,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Borgartún 30B,Reykjavík,74500000,82200000,61150000,0,Fjölbýli,2003,168.1,3,2,2,2,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Grænalaut 10,Reykjanesbæ,46900000,31350000,0,0,Fjölbýli,2020,110.1,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Já
Grænalaut 10,Reykjanesbæ,46900000,31350000,0,0,Fjölbýli,2020,110.1,4,3,1,1,Ekki vitað,Nei / Ekki vitað,2020-03-21,Já
Mánagata 27,Grindavík,49900000,37050000,49200000,0,Einbýli,1970,168.9,5,4,1,2,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Laugagerði Laugarás,Selfossi,69900000,29800000,52900000,0,Einbýli,1965,197.2,5,4,1,2,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Melgerði 10,Reykjavík,99800000,92750000,80700000,0,Einbýli,1957,272.3,9,5,4,2,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Grænalaut 10,Reykjanesbæ,56900000,38750000,0,0,Fjölbýli,2020,144.4,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Súlutjörn 9,Njarðvík,38900000,45050000,46600000,0,Fjölbýli,2006,123.4,5,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Reynihlíð 6B,Akureyri,69900000,34450000,0,0,Par/Raðhús,2019,182.5,5,4,1,2,Ekki vitað,Já,2020-03-21,Nei / Ekki vitað
Reynihlíð 6A,Akureyri,69900000,34450000,0,0,Par/Raðhús,2019,182.5,5,4,1,0,Ekki vitað,Já,2020-03-21,Nei / Ekki vitað
Bæjarlind 5,Kópavogi,64900000,49150000,0,0,Fjölbýli,2019,117.9,4,3,1,1,Sameiginlegur,Já,2020-03-21,Já
Mánagata 22,Reykjavík,28500000,28300000,14650000,0,Fjölbýli,1940,53.6,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Egilsstaðir og Egilsstaðir I Ölfusi,Ölfus,NA,47312000,119770000,0,Jörð/Lóð,NA,1039,0,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hólabraut 9,Reykjanesbæ,35500000,43400000,42610000,0,Hæðir,1972,165.7,5,4,1,1,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Urriðaholt Sérbýlislóðir,Garðabæ,NA,0,0,0,Jörð/Lóð,NA,0,0,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Flamenca Village Nýtt,Útlöndum,22300000,0,0,0,Fjölbýli,NA,77,3,2,1,2,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Gefjunarbrunnur 3,Reykjavík,84900000,52850000,0,0,Par/Raðhús,2018,250.9,4,3,2,2,Sérinngangur,Nei / Ekki vitað,2020-03-21,Já
Laugavegur  10,Reykjavík,NA,0,0,0,atv,NA,211,0,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
"Spánn, Alicante Borg, 4 herbergja rétt við miðbæinn",Útlöndum,24752000,0,0,0,Fjölbýli,2019,99,4,3,1,2,Sameiginlegur,Já,2020-03-21,Já
"Spánn, Alicante borg, Penthouse með 80 m2 þaksvölum",Útlöndum,31144000,0,0,0,Fjölbýli,2019,99,4,3,1,2,Sameiginlegur,Já,2020-03-21,Já
"Spánn, Villamartin, Penthouse íbúð með sjávarútsyni",Útlöndum,63376000,0,0,0,Fjölbýli,2019,194,4,3,1,2,Sameiginlegur,Já,2020-03-21,Já
"Spánn, Los Dolses, klár til afhendingar, fullbúin húsgögnum",Útlöndum,36448000,0,0,0,Fjölbýli,2019,79,4,3,1,2,Sameiginlegur,Já,2020-03-21,Já
"Spánn, Punta Prima, Glæsilegur sundlaugargarður",Útlöndum,22984000,0,0,0,Fjölbýli,2020,68,3,2,1,2,Sameiginlegur,Já,2020-03-21,Já
Lambhagavegur  13,Reykjavík,NA,0,0,0,atv,2018,214,0,0,0,0,Sérinngangur,Nei / Ekki vitað,2020-03-21,Já
LOS DOLSES  Villa Martin,Útlöndum,NA,0,0,0,Hæðir,NA,0,2,2,1,2,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Urriðaholtsstræti 28,Garðabæ,70900000,62850000,62970000,0,Fjölbýli,2019,150.3,5,4,1,2,Sameiginlegur,Já,2020-03-21,Já
Lindargata 39,Reykjavík,58900000,59650000,38440000,0,Fjölbýli,2014,89.9,3,2,1,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Álakvísl 134,Reykjavík,51900000,45850000,33300000,0,Fjölbýli,1987,133.9,3,3,1,2,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Salahverfi / Lindahverfi,Kópavogi,NA,91000000,67250000,0,Par/Raðhús,2001,270,6,4,2,2,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
